N_Scheduler,Time,N_processes,N_products
1,584,160,1
1,2553,160,501
1,4049,160,1001
1,9092,160,1501
1,7459,160,2001
1,13881,160,2501
1,15513,160,3001
1,17713,160,3501
1,19209,160,4001
1,23110,160,4501
1,21269,160,5001
1,27422,160,5501
1,32818,160,6001
1,30713,160,6501
1,32484,160,7001
1,35003,160,7501
1,37435,160,8001
1,37865,160,8501
1,51405,160,9001
1,51551,160,9501
1,54653,160,10001
1,530,240,1
1,3370,240,501
1,6095,240,1001
1,12120,240,1501
1,11753,240,2001
1,13257,240,2501
1,18179,240,3001
1,27422,240,3501
1,27592,240,4001
1,35524,240,4501
1,32545,240,5001
1,41531,240,5501
1,42608,240,6001
1,43510,240,6501
1,49637,240,7001
1,57779,240,7501
1,70035,240,8001
1,56258,240,8501
1,81053,240,9001
1,93113,240,9501
1,88555,240,10001
1,1373,280,1
1,5965,280,501
1,6989,280,1001
1,12098,280,1501
1,12522,280,2001
1,15700,280,2501
1,23971,280,3001
1,31214,280,3501
1,32699,280,4001
1,35315,280,4501
1,33836,280,5001
1,43372,280,5501
1,56860,280,6001
1,56326,280,6501
1,54084,280,7001
1,55463,280,7501
1,69009,280,8001
1,60371,280,8501
1,85178,280,9001
1,94308,280,9501
1,106502,280,10001
1,793,320,1
1,4633,320,501
1,6947,320,1001
1,13296,320,1501
1,15743,320,2001
1,18511,320,2501
1,26863,320,3001
1,32292,320,3501
1,37211,320,4001
1,41545,320,4501
1,39926,320,5001
1,48430,320,5501
1,53758,320,6001
1,60424,320,6501
1,62525,320,7001
1,69253,320,7501
1,71962,320,8001
1,69400,320,8501
1,98997,320,9001
1,108222,320,9501
1,110736,320,10001
1,853,360,1
1,5055,360,501
1,8029,360,1001
1,21971,360,1501
1,17845,360,2001
1,25358,360,2501
1,29039,360,3001
1,36535,360,3501
1,42141,360,4001
1,41204,360,4501
1,41597,360,5001
1,59246,360,5501
1,60887,360,6001
1,66468,360,6501
1,69551,360,7001
1,71525,360,7501
1,78747,360,8001
1,74863,360,8501
1,105956,360,9001
1,124509,360,9501
1,121330,360,10001
1,970,400,1
1,5866,400,501
1,8873,400,1001
1,18508,400,1501
1,16313,400,2001
1,20105,400,2501
1,29708,400,3001
1,37402,400,3501
1,42856,400,4001
1,50135,400,4501
1,51979,400,5001
1,66663,400,5501
1,74248,400,6001
1,84411,400,6501
1,82644,400,7001
1,83505,400,7501
1,85481,400,8001
1,99678,400,8501
1,165304,400,9001
1,151541,400,9501
1,137284,400,10001
2,24,1,1
2,60,1,501
2,85,1,1001
2,95,1,1501
2,90,1,2001
2,176,1,2501
2,182,1,3001
2,146,1,3501
2,150,1,4001
2,148,1,4501
2,142,1,5001
2,235,1,5501
2,220,1,6001
2,213,1,6501
2,243,1,7001
2,222,1,7501
2,306,1,8001
2,205,1,8501
2,311,1,9001
2,296,1,9501
2,303,1,10001
2,33,2,1
2,51,2,501
2,80,2,1001
2,131,2,1501
2,111,2,2001
2,151,2,2501
2,167,2,3001
2,263,2,3501
2,314,2,4001
2,446,2,4501
2,425,2,5001
2,493,2,5501
2,628,2,6001
2,610,2,6501
2,617,2,7001
2,617,2,7501
2,393,2,8001
2,458,2,8501
2,510,2,9001
2,489,2,9501
2,482,2,10001
2,43,3,1
2,161,3,501
2,122,3,1001
2,186,3,1501
2,212,3,2001
2,266,3,2501
2,304,3,3001
2,351,3,3501
2,352,3,4001
2,337,3,4501
2,333,3,5001
2,397,3,5501
2,439,3,6001
2,457,3,6501
2,537,3,7001
2,474,3,7501
2,537,3,8001
2,622,3,8501
2,866,3,9001
2,726,3,9501
2,884,3,10001
2,36,4,1
2,125,4,501
2,171,4,1001
2,227,4,1501
2,211,4,2001
2,281,4,2501
2,283,4,3001
2,388,4,3501
2,340,4,4001
