8,39,1,1
8,186,1,501
8,123,1,1001
8,174,1,1501
8,224,1,2001
8,199,1,2501
8,223,1,3001
8,299,1,3501
8,297,1,4001
8,299,1,4501
8,366,1,5001
8,443,1,5501
8,454,1,6001
8,448,1,6501
8,365,1,7001
8,324,1,7501
8,305,1,8001
8,416,1,8501
8,440,1,9001
8,533,1,9501
8,539,1,10001
8,38,2,1
8,68,2,501
8,75,2,1001
8,109,2,1501
8,115,2,2001
8,128,2,2501
8,198,2,3001
8,204,2,3501
8,226,2,4001
8,284,2,4501
8,227,2,5001
8,232,2,5501
8,292,2,6001
8,404,2,6501
8,472,2,7001
8,438,2,7501
8,528,2,8001
8,726,2,8501
8,460,2,9001
8,507,2,9501
8,387,2,10001
8,39,3,1
8,51,3,501
8,83,3,1001
8,109,3,1501
8,130,3,2001
8,171,3,2501
8,165,3,3001
8,204,3,3501
8,266,3,4001
8,229,3,4501
8,243,3,5001
8,227,3,5501
8,253,3,6001
8,294,3,6501
8,298,3,7001
8,264,3,7501
8,319,3,8001
8,324,3,8501
8,371,3,9001
8,392,3,9501
8,338,3,10001
8,58,4,1
8,91,4,501
8,92,4,1001
8,119,4,1501
8,147,4,2001
8,141,4,2501
8,153,4,3001
8,236,4,3501
8,233,4,4001
8,203,4,4501
8,300,4,5001
8,314,4,5501
8,306,4,6001
8,302,4,6501
8,291,4,7001
8,261,4,7501
8,248,4,8001
8,301,4,8501
8,287,4,9001
8,336,4,9501
8,455,4,10001
8,50,5,1
8,63,5,501
8,117,5,1001
8,124,5,1501
8,151,5,2001
8,179,5,2501
8,213,5,3001
8,225,5,3501
8,224,5,4001
8,201,5,4501
8,208,5,5001
8,218,5,5501
8,238,5,6001
8,281,5,6501
8,308,5,7001
8,294,5,7501
8,409,5,8001
8,308,5,8501
8,325,5,9001
8,297,5,9501
8,279,5,10001
8,45,6,1
8,50,6,501
8,85,6,1001
8,143,6,1501
8,188,6,2001
8,211,6,2501
8,238,6,3001
8,263,6,3501
8,202,6,4001
8,274,6,4501
8,305,6,5001
8,249,6,5501
8,239,6,6001
8,244,6,6501
8,227,6,7001
8,230,6,7501
8,311,6,8001
8,309,6,8501
8,344,6,9001
8,413,6,9501
8,551,6,10001
8,68,7,1
8,108,7,501
8,106,7,1001
8,124,7,1501
8,148,7,2001
8,154,7,2501
8,156,7,3001
8,185,7,3501
8,165,7,4001
8,179,7,4501
8,322,7,5001
8,280,7,5501
8,250,7,6001
8,256,7,6501
8,266,7,7001
8,389,7,7501
8,336,7,8001
8,294,7,8501
8,212,7,9001
8,288,7,9501
8,418,7,10001
8,67,8,1
8,92,8,501
8,122,8,1001
8,147,8,1501
8,195,8,2001
8,200,8,2501
8,245,8,3001
8,173,8,3501
8,236,8,4001
8,181,8,4501
8,175,8,5001
8,197,8,5501
8,177,8,6001
8,260,8,6501
8,270,8,7001
8,262,8,7501
8,273,8,8001
8,277,8,8501
8,360,8,9001
8,403,8,9501
8,338,8,10001
8,110,16,1
8,110,16,501
8,97,16,1001
8,112,16,1501
8,149,16,2001
8,141,16,2501
8,172,16,3001
8,151,16,3501
8,157,16,4001
8,200,16,4501
8,190,16,5001
8,163,16,5501
8,433,16,6001
8,294,16,6501
8,252,16,7001
8,256,16,7501
8,322,16,8001
8,240,16,8501
8,259,16,9001
8,210,16,9501
8,206,16,10001
8,108,24,1
8,153,24,501
8,173,24,1001
8,165,24,1501
8,179,24,2001
8,164,24,2501
8,227,24,3001
8,329,24,3501
8,231,24,4001
8,220,24,4501
8,234,24,5001
8,205,24,5501
8,289,24,6001
8,203,24,6501
8,260,24,7001
8,333,24,7501
8,246,24,8001
8,410,24,8501
8,292,24,9001
8,298,24,9501
8,354,24,10001
8,220,32,1
8,179,32,501
8,189,32,1001
8,162,32,1501
8,165,32,2001
8,163,32,2501
8,179,32,3001
