N_Scheduler,N_Available_Sched,Time,N_processes,N_products,N_processes*N_products,N_products*N_process / time,N_products*N_processes/ (time*n_process),N_products*N_process/(time*N_Schedulers),N_products*N_processes/(time*N_processes*N_Schedulers)
1,8,1320,4,7501,30004,22.73030303030303,5.682575757575758,22.73030303030303,5.682575757575758
1,8,1654,4,8001,32004,19.34945586457074,4.837363966142685,19.34945586457074,4.837363966142685
1,8,2209,4,8501,34004,15.393390674513354,3.8483476686283384,15.393390674513354,3.8483476686283384
1,8,1453,4,9001,36004,24.779077770130765,6.194769442532691,24.779077770130765,6.194769442532691
1,8,1872,4,9501,38004,20.30128205128205,5.075320512820513,20.30128205128205,5.075320512820513
1,8,1653,4,10001,40004,24.200846944948577,6.050211736237144,24.200846944948577,6.050211736237144
1,8,67,5,1,5,0.07462686567164178,0.014925373134328358,0.07462686567164178,0.014925373134328358
1,8,168,5,501,2505,14.910714285714286,2.982142857142857,14.910714285714286,2.982142857142857
1,8,260,5,1001,5005,19.25,3.85,19.25,3.85
1,8,371,5,1501,7505,20.22911051212938,4.045822102425876,20.22911051212938,4.045822102425876
1,8,332,5,2001,10005,30.1355421686747,6.02710843373494,30.1355421686747,6.02710843373494
1,8,686,5,2501,12505,18.228862973760933,3.6457725947521866,18.228862973760933,3.6457725947521866
1,8,469,5,3001,15005,31.99360341151386,6.398720682302772,31.99360341151386,6.398720682302772
1,8,666,5,3501,17505,26.283783783783782,5.256756756756757,26.283783783783782,5.256756756756757
1,8,1149,5,4001,20005,17.410791993037424,3.482158398607485,17.410791993037424,3.482158398607485
1,8,1039,5,4501,22505,21.660250240615976,4.332050048123195,21.660250240615976,4.332050048123195
1,8,820,5,5001,25005,30.49390243902439,6.098780487804878,30.49390243902439,6.098780487804878
1,8,1051,5,5501,27505,26.170313986679353,5.234062797335871,26.170313986679353,5.234062797335871
1,8,1872,5,6001,30005,16.028311965811966,3.205662393162393,16.028311965811966,3.205662393162393
1,8,1159,5,6501,32505,28.045729076790337,5.609145815358067,28.045729076790337,5.609145815358067
1,8,1182,5,7001,35005,29.615059221658207,5.923011844331641,29.615059221658207,5.923011844331641
1,8,1083,5,7501,37505,34.63065558633426,6.926131117266851,34.63065558633426,6.926131117266851
1,8,1252,5,8001,40005,31.952875399361023,6.390575079872204,31.952875399361023,6.390575079872204
1,8,2235,5,8501,42505,19.017897091722595,3.803579418344519,19.017897091722595,3.803579418344519
1,8,2749,5,9001,45005,16.371407784648962,3.2742815569297927,16.371407784648962,3.2742815569297927
1,8,2044,5,9501,47505,23.24119373776908,4.648238747553816,23.24119373776908,4.648238747553816
1,8,2912,5,10001,50005,17.172046703296704,3.434409340659341,17.172046703296704,3.434409340659341
1,8,75,6,1,6,0.08,0.013333333333333334,0.08,0.013333333333333334
1,8,237,6,501,3006,12.683544303797468,2.1139240506329116,12.683544303797468,2.1139240506329116
1,8,290,6,1001,6006,20.71034482758621,3.4517241379310346,20.71034482758621,3.4517241379310346
1,8,513,6,1501,9006,17.555555555555557,2.925925925925926,17.555555555555557,2.925925925925926
1,8,449,6,2001,12006,26.739420935412028,4.456570155902004,26.739420935412028,4.456570155902004
1,8,577,6,2501,15006,26.006932409012133,4.334488734835356,26.006932409012133,4.334488734835356
1,8,652,6,3001,18006,27.616564417177916,4.602760736196319,27.616564417177916,4.602760736196319
1,8,799,6,3501,21006,26.290362953692114,4.381727158948686,26.290362953692114,4.381727158948686
1,8,1137,6,4001,24006,21.113456464379947,3.518909410729991,21.113456464379947,3.518909410729991
1,8,936,6,4501,27006,28.852564102564102,4.808760683760684,28.852564102564102,4.808760683760684
1,8,811,6,5001,30006,36.99876695437731,6.1664611590628855,36.99876695437731,6.1664611590628855
1,8,1507,6,5501,33006,21.901791639017915,3.650298606502986,21.901791639017915,3.650298606502986
1,8,1068,6,6001,36006,33.71348314606742,5.618913857677903,33.71348314606742,5.618913857677903
1,8,1377,6,6501,39006,28.326797385620914,4.721132897603486,28.326797385620914,4.721132897603486
1,8,1460,6,7001,42006,28.77123287671233,4.795205479452055,28.77123287671233,4.795205479452055
1,8,1833,6,7501,45006,24.5531914893617,4.092198581560283,24.5531914893617,4.092198581560283
1,8,1557,6,8001,48006,30.832369942196532,5.138728323699422,30.832369942196532,5.138728323699422
1,8,1421,6,8501,51006,35.89444053483462,5.982406755805771,35.89444053483462,5.982406755805771
1,8,2081,6,9001,54006,25.951946179721286,4.325324363286882,25.951946179721286,4.325324363286882
1,8,3483,6,9501,57006,16.36692506459948,2.727820844099914,16.36692506459948,2.727820844099914
1,8,3171,6,10001,60006,18.92336802270577,3.153894670450962,18.92336802270577,3.153894670450962
1,8,71,7,1,7,0.09859154929577464,0.014084507042253521,0.09859154929577464,0.014084507042253521
1,8,226,7,501,3507,15.517699115044248,2.2168141592920354,15.517699115044248,2.2168141592920354
1,8,305,7,1001,7007,22.97377049180328,3.281967213114754,22.97377049180328,3.281967213114754
1,8,509,7,1501,10507,20.642436149312378,2.9489194499017684,20.642436149312378,2.9489194499017684
1,8,483,7,2001,14007,29.0,4.142857142857143,29.0,4.142857142857143
1,8,654,7,2501,17507,26.769113149847094,3.824159021406728,26.769113149847094,3.824159021406728
1,8,738,7,3001,21007,28.464769647696478,4.06639566395664,28.464769647696478,4.06639566395664
1,8,959,7,3501,24507,25.554744525547445,3.650677789363921,25.554744525547445,3.650677789363921
1,8,2008,7,4001,28007,13.947709163346614,1.9925298804780875,13.947709163346614,1.9925298804780875
1,8,1640,7,4501,31507,19.211585365853658,2.7445121951219513,19.211585365853658,2.7445121951219513
1,8,1669,7,5001,35007,20.97483523067705,2.9964050329538647,20.97483523067705,2.9964050329538647
1,8,1316,7,5501,38507,29.26063829787234,4.180091185410334,29.26063829787234,4.180091185410334
1,8,1411,7,6001,42007,29.771084337349397,4.253012048192771,29.771084337349397,4.253012048192771
1,8,1611,7,6501,45507,28.247672253258845,4.035381750465549,28.247672253258845,4.035381750465549
1,8,1376,7,7001,49007,35.6155523255814,5.087936046511628,35.6155523255814,5.087936046511628
1,8,1330,7,7501,52507,39.47894736842105,5.63984962406015,39.47894736842105,5.63984962406015
