N_Scheduler,N_Available_Scheduler,Time,N_processes,N_products
8,8,9,48,7001,
8,8,6,48,7501,
8,8,9,48,8001,
8,8,5,48,8501,
8,8,4,48,9001,
8,8,4,48,9501,
8,8,5,48,10001,
8,8,14,120,1,
8,8,13,120,501,
8,8,13,120,1001,
8,8,14,120,1501,
8,8,14,120,2001,
8,8,13,120,2501,
8,8,14,120,3001,
8,8,14,120,3501,
8,8,14,120,4001,
8,8,15,120,4501,
8,8,14,120,5001,
8,8,15,120,5501,
8,8,15,120,6001,
8,8,15,120,6501,
8,8,14,120,7001,
8,8,16,120,7501,
8,8,15,120,8001,
8,8,17,120,8501,
8,8,18,120,9001,
8,8,19,120,9501,
8,8,17,120,10001,
8,8,24,160,1,
8,8,23,160,501,
8,8,26,160,1001,
8,8,25,160,1501,
8,8,27,160,2001,
8,8,26,160,2501,
8,8,29,160,3001,
8,8,33,160,3501,
8,8,31,160,4001,
8,8,37,160,4501,
8,8,29,160,5001,
8,8,29,160,5501,
8,8,26,160,6001,
8,8,30,160,6501,
8,8,31,160,7001,
8,8,34,160,7501,
8,8,32,160,8001,
8,8,28,160,8501,
8,8,29,160,9001,
8,8,32,160,9501,
8,8,30,160,10001,
8,8,53,240,1,
8,8,148,240,501,
8,8,69,240,1001,
8,8,61,240,1501,
8,8,179,240,2001,
8,8,103,240,2501,
8,8,115,240,3001,
8,8,72,240,3501,
8,8,67,240,4001,
8,8,63,240,4501,
8,8,103,240,5001,
8,8,70,240,5501,
8,8,69,240,6001,
8,8,82,240,6501,
8,8,108,240,7001,
8,8,112,240,7501,
8,8,95,240,8001,
8,8,157,240,8501,
8,8,98,240,9001,
8,8,107,240,9501,
8,8,136,240,10001,
8,8,146,280,1,
8,8,179,280,501,
8,8,190,280,1001,
