N_Scheduler,N_Available_Sched,Time,N_processes,N_products,N_processes*N_products,N_products*N_process / time,N_products*N_processes/ (time*n_process),N_products*N_process/(time*N_Schedulers),N_products*N_processes/(time*N_processes*N_Schedulers)
1,8,207,2,2001,4002,19.333333333333332,9.666666666666666,19.333333333333332,9.666666666666666
1,8,265,2,2501,5002,18.87547169811321,9.437735849056605,18.87547169811321,9.437735849056605
1,8,315,2,3001,6002,19.053968253968254,9.526984126984127,19.053968253968254,9.526984126984127
1,8,284,2,3501,7002,24.654929577464788,12.327464788732394,24.654929577464788,12.327464788732394
1,8,282,2,4001,8002,28.375886524822697,14.187943262411348,28.375886524822697,14.187943262411348
1,8,494,2,4501,9002,18.222672064777328,9.111336032388664,18.222672064777328,9.111336032388664
1,8,336,2,5001,10002,29.767857142857142,14.883928571428571,29.767857142857142,14.883928571428571
1,8,416,2,5501,11002,26.447115384615383,13.223557692307692,26.447115384615383,13.223557692307692
1,8,534,2,6001,12002,22.475655430711612,11.237827715355806,22.475655430711612,11.237827715355806
1,8,343,2,6501,13002,37.9067055393586,18.9533527696793,37.9067055393586,18.9533527696793
1,8,576,2,7001,14002,24.30902777777778,12.15451388888889,24.30902777777778,12.15451388888889
1,8,810,2,7501,15002,18.520987654320987,9.260493827160493,18.520987654320987,9.260493827160493
1,8,589,2,8001,16002,27.168081494057724,13.584040747028862,27.168081494057724,13.584040747028862
1,8,1055,2,8501,17002,16.11563981042654,8.05781990521327,16.11563981042654,8.05781990521327
1,8,860,2,9001,18002,20.932558139534883,10.466279069767442,20.932558139534883,10.466279069767442
1,8,706,2,9501,19002,26.915014164305948,13.457507082152974,26.915014164305948,13.457507082152974
1,8,821,2,10001,20002,24.362971985383677,12.181485992691838,24.362971985383677,12.181485992691838
1,8,43,3,1,3,0.06976744186046512,0.023255813953488372,0.06976744186046512,0.023255813953488372
1,8,109,3,501,1503,13.788990825688073,4.5963302752293576,13.788990825688073,4.5963302752293576
1,8,198,3,1001,3003,15.166666666666666,5.055555555555555,15.166666666666666,5.055555555555555
1,8,213,3,1501,4503,21.140845070422536,7.046948356807512,21.140845070422536,7.046948356807512
1,8,300,3,2001,6003,20.01,6.67,20.01,6.67
1,8,267,3,2501,7503,28.10112359550562,9.367041198501873,28.10112359550562,9.367041198501873
1,8,321,3,3001,9003,28.046728971962615,9.348909657320872,28.046728971962615,9.348909657320872
1,8,264,3,3501,10503,39.78409090909091,13.261363636363637,39.78409090909091,13.261363636363637
1,8,293,3,4001,12003,40.965870307167236,13.65529010238908,40.965870307167236,13.65529010238908
1,8,540,3,4501,13503,25.005555555555556,8.335185185185185,25.005555555555556,8.335185185185185
1,8,512,3,5001,15003,29.302734375,9.767578125,29.302734375,9.767578125
1,8,515,3,5501,16503,32.04466019417476,10.681553398058252,32.04466019417476,10.681553398058252
1,8,1067,3,6001,18003,16.872539831302717,5.624179943767572,16.872539831302717,5.624179943767572
1,8,791,3,6501,19503,24.656131479140328,8.218710493046776,24.656131479140328,8.218710493046776
1,8,1254,3,7001,21003,16.748803827751196,5.582934609250398,16.748803827751196,5.582934609250398
1,8,733,3,7501,22503,30.69986357435198,10.233287858117325,30.69986357435198,10.233287858117325
1,8,732,3,8001,24003,32.790983606557376,10.930327868852459,32.790983606557376,10.930327868852459
1,8,1197,3,8501,25503,21.305764411027567,7.101921470342523,21.305764411027567,7.101921470342523
1,8,800,3,9001,27003,33.75375,11.25125,33.75375,11.25125
1,8,818,3,9501,28503,34.844743276283616,11.614914425427873,34.844743276283616,11.614914425427873
1,8,1331,3,10001,30003,22.541697971450038,7.51389932381668,22.541697971450038,7.51389932381668
1,8,75,4,1,4,0.05333333333333334,0.013333333333333334,0.05333333333333334,0.013333333333333334
1,8,172,4,501,2004,11.651162790697674,2.9127906976744184,11.651162790697674,2.9127906976744184
1,8,181,4,1001,4004,22.12154696132597,5.530386740331492,22.12154696132597,5.530386740331492
1,8,238,4,1501,6004,25.22689075630252,6.30672268907563,25.22689075630252,6.30672268907563
1,8,310,4,2001,8004,25.81935483870968,6.45483870967742,25.81935483870968,6.45483870967742
1,8,559,4,2501,10004,17.89624329159213,4.474060822898032,17.89624329159213,4.474060822898032
1,8,661,4,3001,12004,18.16036308623298,4.540090771558245,18.16036308623298,4.540090771558245
1,8,853,4,3501,14004,16.417350527549825,4.104337631887456,16.417350527549825,4.104337631887456
1,8,495,4,4001,16004,32.33131313131313,8.082828282828283,32.33131313131313,8.082828282828283
1,8,627,4,4501,18004,28.71451355661882,7.178628389154705,28.71451355661882,7.178628389154705
1,8,939,4,5001,20004,21.303514376996805,5.325878594249201,21.303514376996805,5.325878594249201
1,8,801,4,5501,22004,27.470661672908864,6.867665418227216,27.470661672908864,6.867665418227216
1,8,836,4,6001,24004,28.71291866028708,7.17822966507177,28.71291866028708,7.17822966507177
1,8,657,4,6501,26004,39.57990867579909,9.894977168949772,39.57990867579909,9.894977168949772
1,8,662,4,7001,28004,42.30211480362538,10.575528700906345,42.30211480362538,10.575528700906345
1,8,1358,4,7501,30004,22.094256259204712,5.523564064801178,22.094256259204712,5.523564064801178
1,8,984,4,8001,32004,32.52439024390244,8.13109756097561,32.52439024390244,8.13109756097561
1,8,2198,4,8501,34004,15.470427661510463,3.867606915377616,15.470427661510463,3.867606915377616
1,8,1417,4,9001,36004,25.40860973888497,6.352152434721242,25.40860973888497,6.352152434721242
1,8,1118,4,9501,38004,33.99284436493739,8.498211091234348,33.99284436493739,8.498211091234348
1,8,1515,4,10001,40004,26.405280528052806,6.601320132013202,26.405280528052806,6.601320132013202
1,8,69,5,1,5,0.07246376811594203,0.014492753623188406,0.07246376811594203,0.014492753623188406
1,8,130,5,501,2505,19.26923076923077,3.853846153846154,19.26923076923077,3.853846153846154
1,8,366,5,1001,5005,13.674863387978142,2.7349726775956285,13.674863387978142,2.7349726775956285
1,8,314,5,1501,7505,23.901273885350317,4.780254777070064,23.901273885350317,4.780254777070064
1,8,353,5,2001,10005,28.342776203966007,5.668555240793201,28.342776203966007,5.668555240793201
1,8,556,5,2501,12505,22.491007194244606,4.498201438848921,22.491007194244606,4.498201438848921
1,8,378,5,3001,15005,39.695767195767196,7.939153439153439,39.695767195767196,7.939153439153439
1,8,618,5,3501,17505,28.325242718446603,5.665048543689321,28.325242718446603,5.665048543689321
1,8,489,5,4001,20005,40.91002044989775,8.18200408997955,40.91002044989775,8.18200408997955
1,8,771,5,4501,22505,29.189364461738002,5.8378728923476,29.189364461738002,5.8378728923476
1,8,765,5,5001,25005,32.68627450980392,6.537254901960784,32.68627450980392,6.537254901960784
1,8,953,5,5501,27505,28.861490031479537,5.772298006295908,28.861490031479537,5.772298006295908
1,8,1349,5,6001,30005,22.242401779095626,4.448480355819125,22.242401779095626,4.448480355819125
1,8,967,5,6501,32505,33.61427094105481,6.722854188210961,33.61427094105481,6.722854188210961
